R1_PWRUSB,115.12,40.95,90.00,100K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2,68.45,12.62,270.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH,155.86,7.58,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1,88.27,60.60,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,148.39,50.24,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,155.37,52.08,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,124.78,47.24,90.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,69.62,18.64,90.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,71.01,18.62,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,48.03,33.62,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,10.25,100.22,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,65.97,14.12,180.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,32.39,48.82,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,53.51,33.72,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,64.09,108.35,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,20.54,108.18,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,84.22,47.85,0.30,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,45.59,107.85,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,79.67,24.84,180.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,60.49,108.00,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,157.92,11.91,90.00,BME688,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,65.50,12.07,0.00,,SJ
TP1,76.46,96.60,0.00,TP,TP20R
TP10,21.30,14.52,0.00,TP,TP20R
TP11,82.54,96.60,0.00,TP,TP20R
TP12,15.95,14.82,0.00,TP,TP20R
TP13,26.10,14.72,0.00,TP,TP20R
TP14,16.15,24.32,0.00,TP,TP20R
TP15,21.40,24.42,0.00,TP,TP20R
TP16,26.45,24.22,0.00,TP,TP20R
TP17,88.29,96.60,0.00,TP,TP20R
TP2,150.48,64.00,0.00,TP,TP20R
TP3,150.50,60.60,0.00,TP,TP20R
TP4,26.82,29.40,0.00,TP,TP20R
TP5,21.74,29.40,0.00,TP,TP20R
TP6,16.66,29.40,0.00,TP,TP20R
TP7,26.38,19.60,0.00,TP,TP20R
TP8,21.30,19.60,0.00,TP,TP20R
TP9,16.22,19.60,0.00,TP,TP20R
U1,37.76,55.72,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,17.30,56.05,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,80.94,55.20,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,135.47,52.80,0.00,MAX17048G+T10,SON50P200X200X80-9N
